"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL341071";"";"None";"196.21";"0";"2.00";"10";"Cc1cc2c(nn1)-c1ccccc1C2=O";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"35.10";"0.63";"4.89";"16.07";"0";"CHEMBL734178";"Inhibitory concentration against Monoamine oxidase B was measured";"B";"BAO_0000357";"single protein format";"Papio hamadryas";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136363";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";""
"CHEMBL4111335";"";"None";"337.47";"0";"3.38";"BDBM254597";"NC1CCC(N[C@H]2C[C@@H]2c2ccc(OCc3cccnc3)cc2)CC1";"IC50";"'>'";"50000.0";"nM";"";"";"443212";"UO_0000065";"";"";"";"";"0";"CHEMBL3887028";"Fluorescence-Based (Inhibitor)-Screening Assay: In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescence-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropanamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAO-A and MAO-B activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in duplicate within the same experiment.Briefly, a fixed amount of MAO (0.25 ug for MAO-A and 0.5 ug for MAO-B) was incubated on ice for 15 minutes in the reaction buffer, in the absence and/or in the presence of at least eight 3-fold serial dilutions each. Clorgyline and Deprenyl (Sigma Aldrich) was used as a control for specific inhibition of MAO-A and MAO-B respectively. After leaving the enzyme(s) interacting with the inhibitor, KM of kynuramine was added to each reaction for MAO-B and MAO-A assay respectively, and the reaction was left for 1 hour at 37° C. in the dark. The oxidative deamination of the substrate was stopped by adding 50 uL of NaOH 2N. The conversion of kynuramine to 4-hydroxyquinoline, was monitored by fluorescence (excitation at 320 nm, emission at 360 nm) using a microplate reader (Infinite 200, Tecan). Arbitrary units were used to measure levels of fluorescence produced in the absence and/or in the presence of inhibitor. The maximum of oxidative deamination activity was obtained by measuring the amount of 4-hydroxyquinoline formed from kynuramine deamination in the absence of inhibitor and corrected for background fluorescence in the absence of MAO enzymes. The IC50 values of each inhibitor were calculated with GraphPad Prism Software.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886143";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL4474002";"";"None";"353.80";"0";"1.71";"25";"Cc1cc(O)cc2oc(=O)c(C(=O)CCN3CCOCC3)cc12.Cl";"IC50";"'='";"35980.0";"nM";"4.44";"";"";"UO_0000065";"14.00";"0.26";"2.73";"5.56";"0";"CHEMBL4349201";"Inhibition of recombinant human MAO-B expressed in baculovirus infected BTI insect cells using p-tyramine as substrate preincubated for 60 mins followed by substrate addition and measured after 30 mins by horse-radish peroxidase-coupled amplex red reagent-based fluorescence spectrophotometric method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346711";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4550005";"";"None";"337.80";"0";"2.48";"27";"Cc1cc(O)cc2oc(=O)c(C(=O)CCN3CCCC3)cc12.Cl";"IC50";"'='";"43670.0";"nM";"4.36";"";"";"UO_0000065";"14.47";"0.27";"1.88";"6.16";"0";"CHEMBL4349201";"Inhibition of recombinant human MAO-B expressed in baculovirus infected BTI insect cells using p-tyramine as substrate preincubated for 60 mins followed by substrate addition and measured after 30 mins by horse-radish peroxidase-coupled amplex red reagent-based fluorescence spectrophotometric method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346711";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4567537";"";"None";"273.70";"0";"4.11";"19";"Fc1cc(/N=C/c2ccc3[nH]ncc3c2)ccc1Cl";"IC50";"'='";"1.91";"nM";"8.72";"";"";"UO_0000065";"31.86";"0.63";"4.61";"21.25";"0";"CHEMBL4354288";"Inhibition of human recombinant MAO-B expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as decrease in H2O2 production using p-tyramine as substrate incubated for 20 mins by horse-radish peroxidase/amplex red-based fluorescence method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4351013";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3833782";""
"CHEMBL3742068";"";"None";"272.27";"0";"3.37";"4d";"O=C1CCOc2cc(OCc3ccccc3F)ccc21";"IC50";"'='";"58.82";"nM";"7.23";"";"";"UO_0000065";"26.56";"0.49";"3.86";"20.35";"0";"CHEMBL3745316";"Inhibition of human MAO-B using p-tyramine as substrate assessed as production of H2O2 from p-tyramine incubated for 15 mins by Amplex Red MAO assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3739402";"1";"Scientific Literature";"Medchemcomm";"2015";"None";""
"CHEMBL158041";"";"None";"275.36";"0";"3.51";"11e";"Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL706869";"Compound was tested for inhibition of monoamine oxidase-B (MAO-B).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151505";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";""
"CHEMBL4300613";"";"None";"317.52";"1";"5.41";"17";"CCC(C)(C)c1ccc(OCCCCCN2CCCCC2)cc1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4329060";"Inhibition of human MAO-B expressed in baculovirus infected BTI insect cells using p-tyramine as substrate preincubated for 30 mins followed by substrate addition and measured after 1 hr by fluorescence-based Amplex Red MAO assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4325892";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";""
"CHEMBL8706";"CLORGILINE";"-1.0";"272.18";"0";"3.33";"Clorgyline";"C#CCN(C)CCCOc1ccc(Cl)cc1Cl";"IC50";"'='";"7647.0";"nM";"5.12";"";"";"UO_0000065";"18.80";"0.41";"1.79";"41.03";"0";"CHEMBL4233812";"Inhibition of human recombinant MAO-B expressed in baculovirus infected BTI-TN-5B1-4 insect cells using benzylamine as substrate preincubated for 1 hr followed by substrate addition and measured after 30 mins by resazurin dye-based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229446";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL500093";"";"None";"183.68";"0";"1.75";"7c";"Cl.NCC1CC1c1ccccc1";"IC50";"'='";"33.0";"nM";"7.48";"";"";"UO_0000065";"50.82";"0.93";"5.73";"28.75";"0";"CHEMBL814332";"Compound was evaluated for inhibition of Microbial tyramine oxidase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148448";"1";"Scientific Literature";"J Med Chem";"2004";"None";""
